store,date,stock
29,2020-09-16,"('2020-09-18', [('100630105000002', 2.0)])"
29,2020-09-17,"('2020-09-18', [('100630105000002', 2.0)])"
216,2020-09-18,"('2020-09-20', [('100630105000002', 1.0)])"
216,2020-09-19,"('2020-09-20', [('100630105000002', 1.0)])"
203,2020-09-20,"('2020-09-22', [('100630105000002', 1.0)])"
203,2020-09-21,"('2020-09-22', [('100630105000002', 1.0)])"
203,2020-09-21,"('2020-09-23', [('100630105000002', 1.0)])"
203,2020-09-22,"('2020-09-23', [('100630105000002', 1.0)])"
10,2020-09-24,"('2020-09-26', [('100630105000002', 1.0)])"
10,2020-09-25,"('2020-09-26', [('100630105000002', 1.0)])"
10,2020-09-25,"('2020-09-27', [('100630105000002', 1.0)])"
10,2020-09-26,"('2020-09-27', [('100630105000002', 1.0)])"
7,2020-09-27,"('2020-09-29', [('100630105000002', 1.0)])"
7,2020-09-28,"('2020-09-29', [('100630105000002', 1.0)])"
7,2020-09-28,"('2020-09-30', [('100630105000002', 1.0)])"
170,2020-09-29,"('2020-10-01', [('100630105000002', 1.0)])"
7,2020-09-29,"('2020-09-30', [('100630105000002', 1.0)])"
170,2020-09-30,"('2020-10-01', [('100630105000002', 1.0)])"
170,2020-09-30,"('2020-10-02', [('100630105000002', 1.0)])"
104,2020-10-01,"('2020-10-03', [('100630105000002', 1.0)])"
170,2020-10-01,"('2020-10-02', [('100630105000002', 1.0)])"
29,2020-10-01,"('2020-10-03', [('100630105000002', 2.0)])"
104,2020-10-02,"('2020-10-03', [('100630105000002', 1.0)])"
104,2020-10-02,"('2020-10-04', [('100630105000002', 3.0)])"
185,2020-10-02,"('2020-10-04', [('100630105000002', 1.0)])"
29,2020-10-02,"('2020-10-03', [('100630105000002', 2.0)])"
29,2020-10-02,"('2020-10-04', [('100630105000002', 2.0)])"
7,2020-10-02,"('2020-10-04', [('100630105000002', 1.0)])"
104,2020-10-03,"('2020-10-04', [('100630105000002', 3.0)])"
185,2020-10-03,"('2020-10-04', [('100630105000002', 1.0)])"
29,2020-10-03,"('2020-10-04', [('100630105000002', 2.0)])"
7,2020-10-03,"('2020-10-04', [('100630105000002', 1.0)])"
135,2020-10-04,"('2020-10-06', [('100630105000002', 2.0)])"
141,2020-10-04,"('2020-10-06', [('100630105000002', 1.0)])"
175,2020-10-04,"('2020-10-06', [('100630105000002', 1.0)])"
135,2020-10-05,"('2020-10-06', [('100630105000002', 2.0)])"
141,2020-10-05,"('2020-10-06', [('100630105000002', 1.0)])"
141,2020-10-05,"('2020-10-07', [('100630105000002', 1.0)])"
162,2020-10-05,"('2020-10-07', [('100630105000002', 1.0)])"
175,2020-10-05,"('2020-10-06', [('100630105000002', 1.0)])"
175,2020-10-05,"('2020-10-07', [('100630105000002', 1.0)])"
218,2020-10-05,"('2020-10-07', [('100630105000002', 1.0)])"
141,2020-10-06,"('2020-10-07', [('100630105000002', 1.0)])"
162,2020-10-06,"('2020-10-07', [('100630105000002', 1.0)])"
162,2020-10-06,"('2020-10-08', [('100630105000002', 1.0)])"
171,2020-10-06,"('2020-10-08', [('100630105000002', 1.0)])"
175,2020-10-06,"('2020-10-07', [('100630105000002', 1.0)])"
218,2020-10-06,"('2020-10-07', [('100630105000002', 1.0)])"
162,2020-10-07,"('2020-10-08', [('100630105000002', 1.0)])"
171,2020-10-07,"('2020-10-08', [('100630105000002', 1.0)])"
171,2020-10-07,"('2020-10-09', [('100630105000002', 1.0)])"
56,2020-10-07,"('2020-10-09', [('100630105000002', 1.0)])"
171,2020-10-08,"('2020-10-09', [('100630105000002', 1.0)])"
56,2020-10-08,"('2020-10-09', [('100630105000002', 1.0)])"
147,2020-10-09,"('2020-10-11', [('100630105000002', 2.0)])"
