store,sku,date,amount_miss_sales
10,100630105000002,2020-09-02,0
100,100630105000002,2020-09-02,0
104,100630105000002,2020-09-02,0
105,100630105000002,2020-09-02,0
106,100630105000002,2020-09-02,0
109,100630105000002,2020-09-02,0
11,100630105000002,2020-09-02,0
114,100630105000002,2020-09-02,0
117,100630105000002,2020-09-02,0
119,100630105000002,2020-09-02,0
121,100630105000002,2020-09-02,0
122,100630105000002,2020-09-02,0
123,100630105000002,2020-09-02,0
130,100630105000002,2020-09-02,0
133,100630105000002,2020-09-02,0
135,100630105000002,2020-09-02,0
136,100630105000002,2020-09-02,0
141,100630105000002,2020-09-02,0
143,100630105000002,2020-09-02,0
144,100630105000002,2020-09-02,0
147,100630105000002,2020-09-02,0
149,100630105000002,2020-09-02,0
15,100630105000002,2020-09-02,0
150,100630105000002,2020-09-02,0
152,100630105000002,2020-09-02,0
156,100630105000002,2020-09-02,0
159,100630105000002,2020-09-02,0
160,100630105000002,2020-09-02,0
162,100630105000002,2020-09-02,0
163,100630105000002,2020-09-02,0
164,100630105000002,2020-09-02,0
166,100630105000002,2020-09-02,0
167,100630105000002,2020-09-02,0
168,100630105000002,2020-09-02,0
170,100630105000002,2020-09-02,0
171,100630105000002,2020-09-02,0
172,100630105000002,2020-09-02,0
173,100630105000002,2020-09-02,0
174,100630105000002,2020-09-02,0
175,100630105000002,2020-09-02,0
179,100630105000002,2020-09-02,0
18,100630105000002,2020-09-02,0
180,100630105000002,2020-09-02,0
181,100630105000002,2020-09-02,0
182,100630105000002,2020-09-02,0
183,100630105000002,2020-09-02,0
184,100630105000002,2020-09-02,0
185,100630105000002,2020-09-02,0
186,100630105000002,2020-09-02,0
188,100630105000002,2020-09-02,0
189,100630105000002,2020-09-02,0
201,100630105000002,2020-09-02,0
202,100630105000002,2020-09-02,0
203,100630105000002,2020-09-02,0
21,100630105000002,2020-09-02,0
213,100630105000002,2020-09-02,0
214,100630105000002,2020-09-02,0
215,100630105000002,2020-09-02,0
216,100630105000002,2020-09-02,0
217,100630105000002,2020-09-02,0
218,100630105000002,2020-09-02,0
219,100630105000002,2020-09-02,0
22,100630105000002,2020-09-02,0
221,100630105000002,2020-09-02,0
26,100630105000002,2020-09-02,0
27,100630105000002,2020-09-02,0
28,100630105000002,2020-09-02,0
29,100630105000002,2020-09-02,0
3,100630105000002,2020-09-02,0
3005,100630105000002,2020-09-02,0
3202,100630105000002,2020-09-02,0
3205,100630105000002,2020-09-02,0
3208,100630105000002,2020-09-02,0
3245,100630105000002,2020-09-02,0
35,100630105000002,2020-09-02,0
36,100630105000002,2020-09-02,0
37,100630105000002,2020-09-02,0
4,100630105000002,2020-09-02,0
4104,100630105000002,2020-09-02,0
4123,100630105000002,2020-09-02,0
4129,100630105000002,2020-09-02,0
4133,100630105000002,2020-09-02,0
4134,100630105000002,2020-09-02,0
42,100630105000002,2020-09-02,0
43,100630105000002,2020-09-02,0
44,100630105000002,2020-09-02,0
45,100630105000002,2020-09-02,0
46,100630105000002,2020-09-02,0
47,100630105000002,2020-09-02,0
4803,100630105000002,2020-09-02,0
4805,100630105000002,2020-09-02,0
4904,100630105000002,2020-09-02,0
4906,100630105000002,2020-09-02,0
5,100630105000002,2020-09-02,0
50,100630105000002,2020-09-02,0
51,100630105000002,2020-09-02,0
52,100630105000002,2020-09-02,0
55,100630105000002,2020-09-02,0
56,100630105000002,2020-09-02,0
57,100630105000002,2020-09-02,0
61,100630105000002,2020-09-02,0
63,100630105000002,2020-09-02,0
64,100630105000002,2020-09-02,0
67,100630105000002,2020-09-02,0
68,100630105000002,2020-09-02,0
69,100630105000002,2020-09-02,0
7,100630105000002,2020-09-02,0
73,100630105000002,2020-09-02,0
74,100630105000002,2020-09-02,0
76,100630105000002,2020-09-02,0
79,100630105000002,2020-09-02,0
8,100630105000002,2020-09-02,0
81,100630105000002,2020-09-02,0
82,100630105000002,2020-09-02,0
84,100630105000002,2020-09-02,0
85,100630105000002,2020-09-02,0
88,100630105000002,2020-09-02,0
89,100630105000002,2020-09-02,0
90,100630105000002,2020-09-02,0
91,100630105000002,2020-09-02,0
95,100630105000002,2020-09-02,0
96,100630105000002,2020-09-02,0
99,100630105000002,2020-09-02,0
220,100630105000002,2020-09-02,0
225,100630105000002,2020-09-02,0
10,100630105000002,2020-09-03,0
100,100630105000002,2020-09-03,0
104,100630105000002,2020-09-03,0
105,100630105000002,2020-09-03,0
106,100630105000002,2020-09-03,0
109,100630105000002,2020-09-03,0
11,100630105000002,2020-09-03,0
114,100630105000002,2020-09-03,0
117,100630105000002,2020-09-03,0
119,100630105000002,2020-09-03,0
121,100630105000002,2020-09-03,0
122,100630105000002,2020-09-03,0
123,100630105000002,2020-09-03,0
130,100630105000002,2020-09-03,0
133,100630105000002,2020-09-03,0
135,100630105000002,2020-09-03,0
136,100630105000002,2020-09-03,0
141,100630105000002,2020-09-03,0
143,100630105000002,2020-09-03,0
144,100630105000002,2020-09-03,0
147,100630105000002,2020-09-03,0
149,100630105000002,2020-09-03,0
15,100630105000002,2020-09-03,0
150,100630105000002,2020-09-03,0
152,100630105000002,2020-09-03,0
156,100630105000002,2020-09-03,0
159,100630105000002,2020-09-03,0
160,100630105000002,2020-09-03,0
