store,sku,date,stock
10,100630105000002,2020-09-02,6
100,100630105000002,2020-09-02,25
104,100630105000002,2020-09-02,9
105,100630105000002,2020-09-02,9
106,100630105000002,2020-09-02,9
109,100630105000002,2020-09-02,20
11,100630105000002,2020-09-02,20
114,100630105000002,2020-09-02,6
117,100630105000002,2020-09-02,9
119,100630105000002,2020-09-02,6
121,100630105000002,2020-09-02,9
122,100630105000002,2020-09-02,5
123,100630105000002,2020-09-02,6
130,100630105000002,2020-09-02,9
133,100630105000002,2020-09-02,10
135,100630105000002,2020-09-02,6
136,100630105000002,2020-09-02,9
141,100630105000002,2020-09-02,10
143,100630105000002,2020-09-02,20
144,100630105000002,2020-09-02,11
147,100630105000002,2020-09-02,6
149,100630105000002,2020-09-02,5
15,100630105000002,2020-09-02,10
150,100630105000002,2020-09-02,6
152,100630105000002,2020-09-02,9
156,100630105000002,2020-09-02,9
159,100630105000002,2020-09-02,9
160,100630105000002,2020-09-02,10
162,100630105000002,2020-09-02,9
163,100630105000002,2020-09-02,5
164,100630105000002,2020-09-02,11
166,100630105000002,2020-09-02,9
167,100630105000002,2020-09-02,10
168,100630105000002,2020-09-02,6
170,100630105000002,2020-09-02,6
171,100630105000002,2020-09-02,9
172,100630105000002,2020-09-02,6
173,100630105000002,2020-09-02,10
174,100630105000002,2020-09-02,6
175,100630105000002,2020-09-02,6
179,100630105000002,2020-09-02,10
18,100630105000002,2020-09-02,6
180,100630105000002,2020-09-02,9
181,100630105000002,2020-09-02,9
182,100630105000002,2020-09-02,9
183,100630105000002,2020-09-02,20
184,100630105000002,2020-09-02,6
185,100630105000002,2020-09-02,6
186,100630105000002,2020-09-02,9
188,100630105000002,2020-09-02,6
189,100630105000002,2020-09-02,6
201,100630105000002,2020-09-02,6
202,100630105000002,2020-09-02,10
203,100630105000002,2020-09-02,6
21,100630105000002,2020-09-02,9
213,100630105000002,2020-09-02,6
214,100630105000002,2020-09-02,9
215,100630105000002,2020-09-02,9
216,100630105000002,2020-09-02,6
217,100630105000002,2020-09-02,9
218,100630105000002,2020-09-02,6
219,100630105000002,2020-09-02,9
22,100630105000002,2020-09-02,10
221,100630105000002,2020-09-02,10
26,100630105000002,2020-09-02,6
27,100630105000002,2020-09-02,9
28,100630105000002,2020-09-02,5
29,100630105000002,2020-09-02,9
3,100630105000002,2020-09-02,9
3005,100630105000002,2020-09-02,10
3202,100630105000002,2020-09-02,9
3205,100630105000002,2020-09-02,9
3208,100630105000002,2020-09-02,10
3245,100630105000002,2020-09-02,5
35,100630105000002,2020-09-02,5
36,100630105000002,2020-09-02,5
37,100630105000002,2020-09-02,11
4,100630105000002,2020-09-02,9
